ReferenceID,Country,Product_Code,Product_Name,Subscription_Start_Date,Subscription_Deactivation_Date,Subscription_Duration_Months,Order_Date_Kyiv,Return_Date_Kyiv,Last_Rebill_Date_Kyiv,Has_Chargeback,Has_Refund,Sales_Agent_Name,Source,Campaign_Name,Total_Amount,Discount_Amount,Number_Of_Rebills,Original_Amount,Returned_Amount,Total_Rebill_Amount
GYB220319-3588-83135,UA,gotyourback-support-12-month-plan,Support 12-month plan,,,0,19-3-2022 22:36:00,,,No,No,,,,299,"19,95",,"318,95",,
GYB220319-3588-93223,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 23:19:00,,,No,No,,,,399,"19,95",,"418,95",,
GYB220319-3588-94264,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 23:32:00,20-3-2022 6:37:00,,No,Yes,,,,399,"19,95",,"418,95",399,
GYB220319-3588-96171,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 22:46:00,,,No,No,,,,399,"19,95",,"418,95",,
GYB220319-3588-98121,UA,gotyourback-support-12-month-plan,Support 12-month plan,,,0,19-3-2022 22:28:00,,,No,No,,,,299,"19,95",,"318,95",,
GYB220319-3588-98185,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 22:50:00,,,No,No,,,,399,"19,95",,"418,95",,
GYB220319-7477-26118,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,19-3-2022 0:00:00,19-3-2025 0:00:00,36,19-3-2022 23:17:00,,,No,No,,,,684,0,,684,,
GYB220319-8911-82128,US,aq-gyb-support-6-month-plan-lo,Support 6-month Plan,19-3-2022 0:00:00,19-9-2022 0:00:00,6,19-3-2022 23:41:00,,,No,No,Ruby,Ticket,AQ_21,"186,75","62,25",,249,,
GYB220320-2559-75114,GB,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,20-3-2022 0:00:00,,24,20-3-2022 20:10:00,,,No,No,Ruby,Chat,AQ_9,"575,51",0,,"575,51",,
GYB220320-3044-85111,AU,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,20-3-2022 0:00:00,,36,20-3-2022 5:44:00,,,No,No,,,,"683,76",0,,"683,76",,
GYB220320-3588-47137,UA,gotyourback-support-12-month-plan,Support 12-month plan,,,0,20-3-2022 13:48:00,20-3-2022 6:50:00,,No,Yes,,,,299,"19,95",,"318,95",299,
GYB220320-3588-60157,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,20-3-2022 14:01:00,20-3-2022 7:02:00,,No,Yes,,,,399,"19,95",,"418,95",399,
GYB220320-3588-72169,UA,gotyourback-support-12-month-plan,Support 12-month plan,,,0,20-3-2022 14:26:00,20-3-2022 7:50:00,,No,Yes,,,,299,"19,95",,"318,95",299,
GYB220320-8911-47122,US,aq-one-time-pc-support,Support One Time PC Support,,,0,20-3-2022 3:28:00,,,No,No,,,,149,0,,149,,
GYB220321-2559-12110,US,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,21-3-2022 0:00:00,,24,21-3-2022 3:18:00,,,No,No,Kinder,Chat,AQ_9,576,0,,576,,
GYB220321-2559-12110,US,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,21-3-2022 0:00:00,,24,21-3-2022 3:18:00,,,No,No,Megan,Chat,PDFSuite.CTA,576,0,,576,,
GYB220321-3044-31104,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,21-3-2022 0:00:00,4-4-2022 0:00:00,12,22-3-2022 0:04:00,4-4-2022 14:36:00,,No,Yes,,,,"345,6","86,4",,432,"345,6",
GYB220321-6422-62105,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,21-3-2022 0:00:00,21-5-2023 0:00:00,1,21-3-2022 5:32:00,,21-4-2023 13:19:00,No,No,,,,"49,5","49,5",13,99,,"129,61"
GYB220321-6422-79117,GB,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,21-3-2022 0:00:00,29-5-2022 0:00:00,3,21-3-2022 21:58:00,,,No,No,Jules,Chat,AQ_9,"159,39","39,85",,"199,24",,
GYB220321-6876-69144,CA,aq-gyb-support-36-month-plan,Support 36-month plan,21-3-2022 0:00:00,21-3-2025 0:00:00,36,21-3-2022 20:26:00,,,No,No,Rodger,Call,AQ.Upgrade,"460,69","115,17",,"575,86",,
GYB220321-7477-75133,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,21-3-2022 0:00:00,21-9-2022 0:00:00,1,21-3-2022 18:35:00,,21-8-2022 12:07:00,No,No,Jules,Chat,AQ_9,"159,2","39,8",3,199,,"59,85"
GYB220321-7871-31130,US,aq-gyb-support-multiple-monthly,Support Multiple Device Monthly Subscription,21-3-2022 0:00:00,21-4-2022 0:00:00,1,21-3-2022 23:59:00,,,No,No,Rodger,Call,AQ_9,"49,5","49,5",,99,,
GYB220321-8911-82143,US,aq-gyb-support-24-month-plan,Support 24-month plan,21-3-2022 0:00:00,21-3-2024 0:00:00,24,21-3-2022 21:30:00,,,No,No,Rodger,Call,AQ.Upgrade,"302,4","129,6",,432,,
GYB220321-8911-85117,CA,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,21-3-2022 0:00:00,28-3-2023 0:00:00,1,21-3-2022 7:15:00,,,No,No,,,,"345,52","86,38",,"431,9",,
GYB220322-3044-14111,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,22-3-2022 0:00:00,22-6-2022 0:00:00,3,22-3-2022 18:38:00,,,No,No,Keira,Chat,AQ_21,199,0,,199,,
GYB220322-6876-72112,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,22-3-2022 0:00:00,29-3-2023 0:00:00,1,22-3-2022 10:03:00,,,No,No,,,,"302,23","129,53",,"431,76",,
GYB220322-7871-42114,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,22-3-2022 0:00:00,25-3-2022 0:00:00,1,23-3-2022 1:36:00,25-3-2022 11:19:00,,Yes,No,Rodger,Call,AQ_9,99,0,,99,99,
GYB220322-8911-44118,US,aq-one-time-pc-support,Support One Time PC Support,,,0,22-3-2022 19:50:00,,,No,No,Vicky,Call,AQ_9,"74,5","74,5",,149,,
GYB220323-2559-96129,US,aq-one-time-pc-support,Support One Time PC Support,,,0,23-3-2022 17:56:00,,,No,No,,,,"119,2","29,8",,149,,
GYB220323-3044-52133,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,23-3-2022 19:26:00,,,No,No,,,,"74,75","74,75",,"149,5",,
GYB220323-6422-37181,US,aq-one-time-pc-support,Support One Time PC Support,,,0,23-3-2022 17:47:00,,,No,No,,,,"119,2","29,8",,149,,
GYB220323-6422-45118,US,aq-gyb-support-multiple-monthly,Support Multiple Device Monthly Subscription,23-3-2022 0:00:00,30-7-2022 0:00:00,1,23-3-2022 4:37:00,,23-6-2022 15:40:00,No,No,Rodger,Call,AQ_25,99,0,3,99,,"74,85"
GYB220323-6876-38166,IL,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,23-3-2022 0:00:00,24-3-2022 0:00:00,36,23-3-2022 23:18:00,24-3-2022 12:36:00,,No,Yes,,,,684,0,,684,684,
GYB220323-6876-95130,US,aq-one-time-pc-support,Support One Time PC Support,,,0,23-3-2022 18:24:00,,,No,No,,,,"119,2","29,8",,149,,
GYB220323-7910-92132,US,aq-gyb-support-6-month-plan-lo,Support 6-month Plan,23-3-2022 0:00:00,23-9-2022 0:00:00,6,23-3-2022 21:14:00,,,No,No,Ruby,Ticket,AQ_21,249,0,,249,,
GYB220323-7910-93109,US,aq-gyb-support-12-month-plan,Support 12-month plan,23-3-2022 0:00:00,30-3-2023 0:00:00,1,23-3-2022 17:08:00,,,No,No,Rodger,Call,AQ_25,252,84,,336,,
GYB220324-2050-61128,US,gyb-support-single-monthly,Support Single Device Monthly Subscription,24-3-2022 0:00:00,31-8-2022 0:00:00,1,24-3-2022 22:39:00,,24-7-2022 15:07:00,No,No,,,,99,0,4,99,,"79,8"
GYB220324-4913-69125,US,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,24-3-2022 0:00:00,,24,24-3-2022 22:11:00,,,No,No,Megan,Chat,PDFSuite.CTA,576,0,,576,,
